id,owner_name,owner_father_name,owner_city,owner_cnic,owner_tax_paid,number_plate,engine_number,make_name,register_date,year_of_manufacture,vehicle_price,color,token,is_stolen
28,Saba Ahmed,Saba Ahmed Sr.,Rawalpindi,2345678901234,False,LEF3157,VWX987654321,Ford,2024-05-05,2016,22000,Red,X9329,False
29,Sultan Ahmed,Sultan Ahmed Sr.,Karachi,5678901234567,True,AZ413,DEF987654321,Toyota,2024-06-15,2017,27000,Yellow,M7722,True
30,Mariam Ali,Mariam Ali Sr.,Lahore,8901234567890,False,ALQ158,ABC123456783,Honda,2024-07-20,2020,28000,Blue,M2474,False
31,Saifullah Mehmood,Saifullah Mehmood Sr.,Rawalpindi,1234012345678,True,VC903,XYZ987654324,Nissan,2024-08-10,2015,25000,Green,B6805,False
32,Farzana Ahmed,Farzana Ahmed Sr.,Karachi,2345678901234,False,RIA509,GHI123456781,Toyota,2024-09-05,2018,23000,Orange,N6292,True
33,Hassan Ahmed,Hassan Ahmed Sr.,Lahore,5678901234567,True,AAS503,JKL987654321,Honda,2024-10-12,2019,29000,Red,V3124,False
34,Aisha Asif,Aisha Asif Sr.,Islamabad,8901234567890,False,LD206,VWX123456784,Chevrolet,2024-11-25,2021,32000,Yellow,A4427,True
35,Sofia Akram,Sofia Akram Sr.,Rawalpindi,1234012345678,True,AKH828,DEF987654324,Hyundai,2024-12-18,2017,27000,Black,I8132,False
36,Luqman Ahmed,Luqman Ahmed Sr.,Karachi,2345678901234,False,AJ620,PQR987654326,Ford,2025-01-03,2016,24000,Silver,R8388,True
37,Isaac Mehmood,Isaac Mehmood Sr.,Lahore,5678901234567,True,ABB224,ABC123456793,Honda,2025-02-18,2020,26000,Orange,O7129,True
38,Hira Ahmed,Hira Ahmed Sr.,Islamabad,8901234567890,False,AJB805,XYZ987654333,Nissan,2025-03-22,2018,26000,Blue,A7538,False
39,Zahid Khan,Zahid Khan Sr.,Karachi,1234012345678,True,FK208,GHI123456789,Toyota,2025-04-15,2017,22000,Green,A6646,True
40,Aisha Khan,Aisha Khan Sr.,Rawalpindi,2345678901234,False,AW456,DEF987654325,Ford,2025-05-10,2019,25000,Yellow,F3066,True
41,Faizan Ahmed,Faizan Ahmed Sr.,Karachi,5678901234567,True,AUX446,VWX123456759,Chevrolet,2025-06-05,2015,30000,Black,I9543,False
42,Sania Mehmood,Sania Mehmood Sr.,Lahore,8901234567890,False,ATF523,PQR987654321,Hyundai,2025-07-12,2022,27000,Silver,W4176,False
43,Ahmed Aamir,Ahmed Aamir Sr.,Islamabad,1234012345678,True,AHE486,ABC123456749,Honda,2025-08-20,2018,23000,Red,T6009,False
44,Mehwish Ali,Mehwish Ali Sr.,Rawalpindi,2345678901234,False,AQM030,XYZ987654321,Toyota,2025-09-15,2017,28000,Orange,S4825,False
45,Mehboob Khan,Mehboob Khan Sr.,Karachi,5678901234567,True,FW364,VWX123456589,Ford,2025-10-22,2016,24000,Blue,P5690,True
46,Sania Ahmed,Sania Ahmed Sr.,Lahore,8901234567890,False,AKA247,DEF987654327,Nissan,2025-11-18,2021,26000,Green,V2070,False
47,Imran Khan,Imran Khan Sr.,Rawalpindi,1234012345678,True,AYF797,ABD123466789,Toyota,2026-01-03,2019,29000,Yellow,W8498,True
48,Ayesha Malik,Ayesha Malik Sr.,Islamabad,2345678901234,False,FW664,GHI987654325,Chevrolet,2026-02-15,2018,31000,Black,J0245,False
49,Luqman Ahmed,Luqman Ahmed Sr.,Karachi,5678901234567,True,ASZ954,PQR123456780,Honda,2026-03-20,2020,26000,Silver,U9582,False
50,Aisha Khan,Aisha Khan Sr.,Rawalpindi,8901234567890,False,ASK934,VCX987654325,Hyundai,2026-04-10,2017,24000,Orange,W8185,True
51,Imran Ali,Imran Ali Sr.,Lahore,1234012345678,True,BC517,DEF987654328,Ford,2026-05-05,2019,27000,Red,L2636,True
52,Saba Mehmood,Saba Mehmood Sr.,Karachi,2345678901234,False,LEA9673,ABC123156789,Toyota,2026-06-15,2018,23000,Yellow,C4183,True
53,Jack Ahmed,Jack Ahmed Sr.,Rawalpindi,5678901234567,True,AUH119,PQR123454789,Honda,2026-07-20,2019,29000,Yellow,I8189,True
54,Fatima Akram,Fatima Akram Sr.,Islamabad,8901234567890,False,ACJ547,GLI987654321,Chevrolet,2026-08-10,2017,25000,Green,F5754,False
55,Ahmed Ali,Ahmed Ali Sr.,Karachi,1234012345678,True,AUT336,VWX123436789,Honda,2026-09-05,2022,27000,Blue,S9371,False
56,Maria Khan,Maria Khan Sr.,Lahore,2345678901234,False,YA581,DAF987654321,Hyundai,2026-10-12,2018,28000,Silver,R6087,True
57,Kashif Iqbal,Kashif Iqbal Sr.,Islamabad,5678901234567,True,AW829,ABC123436789,Nissan,2026-11-25,2021,30000,Orange,F9465,False
58,Sadia Ahmed,Sadia Ahmed Sr.,Karachi,8901234567890,False,AUM171,PQR987344321,Toyota,2026-12-18,2019,26000,Black,Y5720,True
59,Mohammad Ali,Mohammad Ali Sr.,Rawalpindi,1234012345678,True,BF148,ABC343456789,Ford,2027-01-03,2017,28000,Yellow,X9124,False
60,Fariha Ahmed,Fariha Ahmed Sr.,Lahore,2345678901234,False,KC352,DEF944654321,Honda,2027-02-15,2020,29000,Blue,T6480,True
61,Imran Akram,Imran Akram Sr.,Islamabad,5678901234567,True,RIB652,VWX123456789,Chevrolet,2027-03-22,2018,31000,Red,Q2682,False
62,Saba Iqbal,Saba Iqbal Sr.,Karachi,8901234567890,False,AKJ729,GHI987655521,Nissan,2027-04-15,2019,25000,Green,K4308,True
63,Osama Ahmed,Osama Ahmed Sr.,Rawalpindi,1234012345678,True,AGJ484,PQR123456744,Toyota,2027-05-10,2016,27000,Orange,W7575,False
64,Asma Bibi,Asma Bibi Sr.,Lahore,2345678901234,False,ACB818,DEF987334321,Honda,2027-06-05,2022,28000,Silver,Y8676,False
65,Ahmed Khan,Ahmed Khan Sr.,Islamabad,5678901234567,True,GD597,ABC1236789,Ford,2027-07-12,2018,30000,Black,F4455,True
66,Fatima Malik,Fatima Malik Sr.,Karachi,8901234567890,False,GY336,VWX987654333,Hyundai,2027-08-20,2017,26000,Yellow,S7747,False
67,Asad Ahmed,Asad Ahmed Sr.,Rawalpindi,1234012345678,True,GBC565,XYZ123458789,Nissan,2027-09-15,2016,29000,Blue,L6549,True
68,Sana Ali,Sana Ali Sr.,Lahore,2345678901234,False,GAH502,DEF987654121,Chevrolet,2027-10-22,2019,31000,Red,H2082,False
69,Ahmed Hassan,Ahmed Hassan Sr.,Islamabad,5678901234567,True,AXD918,ABC125556789,Honda,2027-11-18,2020,27000,Green,H9626,False
70,Sarah Aslam,Sarah Aslam Sr.,Karachi,8901234567890,False,AZX419,VWX144456789,Toyota,2027-12-03,2017,29000,Orange,K9123,True
71,Ahmed Bilal,Ahmed Bilal Sr.,Rawalpindi,1234012345678,True,IDN1198,DEF987633321,Ford,2028-01-08,2021,30000,Silver,O3833,True
72,Zainab Ahmed,Zainab Ahmed Sr.,Lahore,2345678901234,False,SF293,ABC123454444,Chevrolet,2028-02-15,2018,32000,Black,C1045,False
73,Mohammad Iqbal,Mohammad Iqbal Sr.,Islamabad,5678901234567,True,BS948,GHI987654324,Nissan,2028-03-20,2022,27000,Yellow,M0858,False
74,Fariha Khan,Fariha Khan Sr.,Karachi,8901234567890,False,AAC175,VWX123466669,Honda,2028-04-15,2019,29000,Blue,Q6996,True
75,Ahmed Ali,Ahmed Ali Sr.,Rawalpindi,1234012345678,True,EF780,DEF987651111,Hyundai,2028-05-10,2017,28000,Orange,A7430,True
76,Maria Akram,Maria Akram Sr.,Lahore,2345678901234,False,EF781,ABC123452222,Toyota,2028-06-15,2015,30000,Red,M9601,False
77,Imran Ali,Imran Ali Sr.,Islamabad,5678901234567,True,NEF349,VWX987652222,Ford,2028-07-20,2020,26000,Silver,Z3549,True
78,Ayesha Ahmed,Ayesha Ahmed Sr.,Karachi,8901234567890,False,FNO455,XYZ123452289,Nissan,2028-08-10,2018,28000,Black,T5856,True
79,Zubair Ahmed,Zubair Ahmed Sr.,Rawalpindi,1234012345678,False,QQR566,DEF987654300,Honda,2028-09-05,2016,31000,Yellow,S0434,True
80,Sana Ilyas,Sana Ilyas Sr.,Lahore,2345678901234,True,GTU677,ABC123456789,Chevrolet,2028-10-12,2019,29000,Green,B2618,False
81,Nasir Mehmood,Nasir Mehmood Sr.,Islamabad,5678901234567,True,YVW782,GHI987654355,Toyota,2028-11-25,2021,32000,Orange,F9389,False
82,Mehak Khan,Mehak Khan Sr.,Karachi,8901234567890,False,TBC898,DEF9876543333,Ford,2028-12-18,2017,30000,Blue,D4818,True
83,Imran Khan,Imran Khan Sr.,Rawalpindi,1234012345678,True,AEF018,PQR123456339,Hyundai,2029-01-03,2020,27000,Silver,H4682,False
84,Aisha Aamir,Aisha Aamir Sr.,Lahore,2345678901234,False,IHI128,ABC123456700,Honda,2029-02-15,2018,26000,Orange,I5153,True
85,Ismail Ahmed,Ismail Ahmed Sr.,Islamabad,5678901234567,True,QKL455,DEF9876522221,Toyota,2029-03-22,2021,28000,Green,U7938,True
86,Aliya Asif,Aliya Asif Sr.,Karachi,8901234567890,False,AVW569,VWX1234599989,Nissan,2029-04-15,2019,29000,Yellow,N9231,False
87,Adnan Ahmed,Adnan Ahmed Sr.,Rawalpindi,1234012345678,True,YQR674,ABC123456711,Ford,2029-05-10,2017,30000,Black,K4704,True
88,Sadia Khan,Sadia Khan Sr.,Lahore,2345678901234,False,QTU789,DEF987774321,Honda,2029-06-05,2020,28000,Red,D0869,False
89,Ahmed Hussain,Ahmed Hussain Sr.,Islamabad,5678901234567,True,RBC892,PQR123489789,Chevrolet,2029-07-12,2018,32000,Orange,G5927,False
90,Fatima Bibi,Fatima Bibi Sr.,Karachi,8901234567890,False,NEF904,GHI987654301,Toyota,2029-08-20,2016,30000,Silver,E4080,True
